path,manages,tier,verdict
/super-admin,control room: platform stat totals + deploy/backup/audit widgets,Tier 1,"NOT VERIFIED this pass (page renders via ops-owned stats/observability/deploy APIs, not individually re-checked; see ops-findings.md 1.1)"
/super-admin/login,admin session authentication (session-based, no query-param secret per ADMIN_OPERATIONS.md),Tier 0,"VERIFIED: src/app/api/super-admin/login/route.ts is the auth gateway itself; entry point for every other Tier-0 action"
/super-admin/users,user directory: ban/unban/role changes,Tier 0,"VERIFIED: src/app/api/super-admin/users/route.ts GET requires authorizeAdmin(request,'support'); PATCH (mutation) requires authorizeAdmin(request,'super_admin')"
/super-admin/rbac,role/permission assignment,Tier 0,"VERIFIED: src/app/api/super-admin/rbac/route.ts GET requires 'support', mutation requires 'super_admin'; logAdminAudit imported"
/super-admin/oauth-apps,OAuth app review workflow (approve/reject/suspend),Tier 0,"VERIFIED gate exists but PERMISSIVE: POST (approve_app/reject_app/suspend_app) requires only authorizeAdmin(request,'support') -- the lowest admin tier -- for a REG-119-named high-blast-radius surface (OAuth apps). logAdminAudit is called. Recommend architect confirm 'support' tier is intentional for app suspend/approve."
/super-admin/view-as/[studentId]/dashboard,student impersonation view (dashboard surface),Tier 0,"NOT VERIFIED this pass (page); backing route src/app/api/super-admin/students/[id]/impersonate/route.ts POST requires authorizeAdmin(request,'super_admin'), PATCH requires 'admin' -- verified"
/super-admin/view-as/[studentId]/foxy,student impersonation view (Foxy surface),Tier 0,NOT VERIFIED this pass -- shares impersonate route auth verified above
/super-admin/view-as/[studentId]/progress,student impersonation view (progress surface),Tier 0,NOT VERIFIED this pass -- shares impersonate route auth verified above
/super-admin/view-as/[studentId]/quizzes,student impersonation view (quiz history surface),Tier 0,NOT VERIFIED this pass -- shares impersonate route auth verified above
/super-admin/students/[id],student profile detail + notes,Tier 0,"NOT VERIFIED this pass (page); students/[id]/profile, /notes routes not individually spot-checked"
/super-admin/entitlements,per-institution/plan feature entitlement grants,Tier 0,NOT VERIFIED this pass -- plan-access-adjacent grant surface, not spot-checked
/super-admin/subjects/plan-access,plan x subject access matrix + max_subjects cap,Tier 0,"VERIFIED: src/app/api/super-admin/subjects/plan-access/route.ts GET/PUT/DELETE all require authorizeRequest(request,'super_admin.subjects.manage') via RBAC lib (not admin-auth.ts -- a second, equally valid auth code path)"
/super-admin/bulk-actions,bulk plan-change / suspend-restore / notify / resend-invites across many students,Tier 0,"NOT VERIFIED this pass (page); src/app/api/super-admin/bulk-actions/plan-change/route.ts is pinned by REG-47 (atomic_plan_change + advisory lock) per constitution -- not re-read this pass"
/super-admin/institutions,school directory + pause/resume/provision/verify-domain,Tier 0,"NOT VERIFIED this pass -- tenant-level provisioning is high blast radius (pause/resume suspends a whole school's access)"
/super-admin/subscriptions,subscription/payment analytics,Tier 0,"NOT VERIFIED this pass (page); classified Tier 0 not Tier 1 because domain ownership matrix (super-admin-reporting skill) marks this ops+backend payment data with override capability implied"
/super-admin/subscribers,domain-event subscriber health + dead-letter retry/replay,Tier 0,"VERIFIED: src/app/api/super-admin/subscribers/[name]/dead-letters/[event_id]/retry/route.ts POST requires authorizeAdmin(request,'support') -- lowest tier -- for a REG-119-named high-blast-radius action (dead-letter replay). REG-119 catalog entry states all 7 named routes 'already ship a working auth gate' and pins the exact tier as intentional; flagging for independent confirmation that 'support' is the deliberately-approved tier, not a drift."
/super-admin/flags,feature flag CRUD (global/role/env/institution/rollout-% targeting),Tier 0,"VERIFIED: src/app/api/super-admin/feature-flags/route.ts POST/PATCH/DELETE all require authorizeAdmin(request,'super_admin'); logAdminAudit fires on every mutation (feature_flag.created/updated/deleted) -- satisfies the 'flag change must be logged to audit trail' rejection condition"
