name	has	lines	tombstone	auth	logging	ext	tables	rpcs	invokes	callers_total	app	mobile	edge	migrations	ws	n_app	n_mobile	n_edge	n_mig	n_ws
agent-orchestrator	true	46	true	NONE	console					1					scripts/edge-function-manifest.json:4	0	0	0	0	1
agent-worker	true	49	true	NONE	console					1					scripts/edge-function-manifest.json:5	0	0	0	0	1
alert-deliverer	true	191	false	cron-secret	requestId+randomUUID+console+ops_events				send-auth-email	3				supabase/migrations/20260729120100_reschedule_alert_deliverer_cron_auth.sql:77 supabase/migrations/_legacy/timestamped/20260413120000_observability_console_1b.sql:201	scripts/edge-function-manifest.json:6	0	0	0	2	1
alfabot-answer	true	325	false	NONE	console	openai+voyage+twilio/whatsapp		match_alfabot_kb_chunks		7	apps/host/src/app/api/alfabot/route.ts:457 packages/lib/src/security/internal-caller-signing.ts:32		supabase/functions/_shared/security/auth.ts:126 supabase/functions/_shared/security/request-signature.ts:25	supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:13	scripts/edge-auth-sweep.mjs:70 scripts/edge-function-manifest.json:7	2	0	2	1	2
alfabot-send-inquiry	true	353	false	checkBearerToken+service-role-compare	requestId+correlation/trace+sentry	mailgun				2	apps/host/src/app/api/alfabot/inquiry/route.ts:169				scripts/edge-function-manifest.json:8	1	0	0	0	1
auth-write-skeleton	true	44	true	NONE	console					1					scripts/edge-function-manifest.json:9	0	0	0	0	1
board-score	true	599	false	checkBearerToken+auth.getUser	requestId+correlation/trace+randomUUID+console		feature_flags,cbse_chapter_weights,subjects,curriculum_topics,concept_mastery,board_score_predictions,students			3	apps/host/src/app/api/board-score/route.ts:113 apps/host/src/app/api/cron/board-score/route.ts:173				scripts/edge-function-manifest.json:10	2	0	0	0	1
bulk-jee-neet-curated-import	true	440	false	auth.getUser	console+ops_events		admin_users,exam_papers,question_bank			1					scripts/edge-function-manifest.json:11	0	0	0	0	1
bulk-jee-neet-import	true	1023	false	hmac	requestId+console+ops_events	anthropic	curriculum_topics,question_bank,rag_content_chunks			2				supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:16	scripts/edge-function-manifest.json:12	0	0	0	1	1
bulk-non-mcq-gen	true	740	false	NONE	requestId+randomUUID+console	anthropic+openai	rag_content_chunks,question_bank			5				supabase/migrations/20260609160000_python_bulk_non_mcq_gen_flag.sql:11 supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:15	scripts/bulk-non-mcq-driver.ts:256 scripts/edge-function-manifest.json:13	0	0	0	2	3
bulk-question-gen	true	1502	false	NONE	requestId+correlation/trace+randomUUID+console+ops_events	anthropic+openai	question_bank			3				supabase/migrations/20260618000001_platform_security_layer.sql:1195 supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:14	scripts/edge-function-manifest.json:14	0	0	0	2	1
cme-engine	true	58	true	NONE	NONE					3				supabase/migrations/20260606000000_phase5_phase6_python_flags.sql:109 supabase/migrations/20260806000012_secret_rotation_continuous_ops.sql:60	scripts/edge-function-manifest.json:15	0	0	0	2	1
